in,,
"compliance ol Ilon'ble Supreme Court's ordei dated 02/11/2023, leceived from 20/11/2023",,
up to 02/12/2023,,
National Parties,,
SI No Name of Political Party Date of receipt of envelope,,
1 National People's Party 28 1 1 2023,,
State Parties,,
2 A ISU Party 21 11 2023,,
3 Goa Forward Party 21 1 1 2023,,
4 All India NR Congiess 22 11 2023,,
5 Sikkim Demociatic Front 22 11 2023,,
6 Desi>a Muipokku Diavida Kazhagain 23 11 2023 (Bv e-mail),,
7 Jammu & Kashmir People's Conterenct 23 11 2023,,
8 Mahaiashtiawadi Gomantak Party 24 1 1 2023,,
9 Bodoland People's Fiont 24 1 1 2023,,
10 Asom Gana Parishad 24 11 2023,,
11 & 12 lanata Dal (United)( two envelopes) 27 1 1 2023 & 28 1 1 2023,,
13 Shiiomam Akali Dal 01 12 2023,,
14 Keiala Congiess( M) 01 12 2023,,
Registered Uniecognized Parties,,
15 Public Adhikar Socialist Indian Party 20 1 1 2023,,
6 Adim Bhartiya Dal 20 1 1 2023,,
17 1 Imd Congiess Party 20 1 1 2023,,
18 Nyaydharmsabha 20 11 2023,,
19,Paiisara Bandhu Party,20 11 2023 (By e-mail)
20,Bhaiatiya Praja Shakti,21 11 2023 (By e-mail)
21,Naveen Samajwadi Paity,21 11 2023
22,Abhinav Bharat Janseva PaPsh,21 11 2023
23,Jammu & Kashmir Pii Panjal Awami Party,21 11 2023
24,Indian Movement Party,21 11 2023
25,Janam Manam Party,21 11 2023
26,Rashtriya Komi Ekta Party,21 11 2023
27,Rashtriya Vikalp Party,21 11 2023
28,Rashtriya Garib Utthan Party,21 11 2023
29,Samaanya Praja Party,21 11 2023
30,Karnataka Rashtia Sanithi Party,21 11 2023
31,Party name not Mentioned,21 11 2023
,(received fiom Mulpreet Singh Sandhu),
32,Samyak Paiivartan Party,21 11 2023
33,Saidar Patel Siddhant Party,21 11 2023
34,Mahajana Rajyam Party (MRP),21 11 2023
35,Rashtriya Insaaf Party,21 11 2023
36,Piagatisheel Manav Samaj Party,21 11 2023
37,Bharatiya Gorkha Prajaiantrik Moicha,21 112023 (received from
,,"CEO, West Bengal thiough"
,,e-mail)
38,All India Puiatchithalaivar Makkal Munnetra,21 11 2023 (By e-mail)
,Kazhagam,
39,Piajasattak Samajwaadi Bharat Party,22 11 2023
40,Bahujan Dravida Party,22 11 2023
41,Jan Pragati Party,22 11 2023
42,Tamil Manila Murpokku Dravida Kazhagam,22 11 2023
43,Nyay Satta Party,22 11 2023
44,Sarvjan Lok Shakti Party,22 11 2023
45,Bhartiya Awam Party (Rashtriya),22 11 2023
46,Tamilar Desiya Munani,22 11 2023
A1,Makkal Nala Kazhagam,22 11 2023
